Race Name,Race Location,Race Date,Race Format,Race Start Time,Air Temperature,Relative Humidity,Air Pressure,Rainfall,Track Temperature,Wind Speed,Driver ID,Driver Name,Driver Number and Race Name,Driver Team,Position,Race Time,Race Point,Race Grid Position,Cluster
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,14,alonso,14 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,McLaren,0.3157894736842105,NaT,6.0,13.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,2,vandoorne,2 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,McLaren,0.3684210526315789,NaT,4.0,14.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,9,ericsson,9 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Sauber,0.42105263157894735,NaT,2.0,17.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,31,ocon,31 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Force India,0.47368421052631576,NaT,1.0,8.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,55,sainz,55 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Renault,0.5263157894736842,NaT,0.0,10.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,16,leclerc,16 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Sauber,0.5789473684210527,NaT,0.0,19.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,8,grosjean,8 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Haas F1 Team,0.631578947368421,NaT,0.0,16.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,18,stroll,18 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Williams,0.6842105263157895,NaT,0.0,20.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,35,sirotkin,35 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Williams,0.7368421052631579,NaT,0.0,18.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,11,perez,11 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Force India,0.7894736842105263,NaT,0.0,12.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,28,brendon_hartley,28 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Toro Rosso,0.8421052631578947,NaT,0.0,11.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,7,raikkonen,7 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Ferrari,0.8947368421052632,NaT,0.0,2.0,5
